PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=137 ttl=64 time=4.37 ms
64 bytes from 10.42.0.3: icmp_seq=138 ttl=64 time=2.31 ms
64 bytes from 10.42.0.3: icmp_seq=139 ttl=64 time=310 ms
64 bytes from 10.42.0.3: icmp_seq=140 ttl=64 time=14.4 ms
64 bytes from 10.42.0.3: icmp_seq=141 ttl=64 time=779 ms
64 bytes from 10.42.0.3: icmp_seq=142 ttl=64 time=1.85 ms
64 bytes from 10.42.0.3: icmp_seq=143 ttl=64 time=4.74 ms
64 bytes from 10.42.0.3: icmp_seq=144 ttl=64 time=11.1 ms
64 bytes from 10.42.0.3: icmp_seq=145 ttl=64 time=2.73 ms
64 bytes from 10.42.0.3: icmp_seq=146 ttl=64 time=2.26 ms
64 bytes from 10.42.0.3: icmp_seq=147 ttl=64 time=2.15 ms
64 bytes from 10.42.0.3: icmp_seq=148 ttl=64 time=3.35 ms
64 bytes from 10.42.0.3: icmp_seq=149 ttl=64 time=15.2 ms
64 bytes from 10.42.0.3: icmp_seq=150 ttl=64 time=2.02 ms
64 bytes from 10.42.0.3: icmp_seq=151 ttl=64 time=1.95 ms
64 bytes from 10.42.0.3: icmp_seq=152 ttl=64 time=1.74 ms
64 bytes from 10.42.0.3: icmp_seq=153 ttl=64 time=2.11 ms
64 bytes from 10.42.0.3: icmp_seq=154 ttl=64 time=1.87 ms
64 bytes from 10.42.0.3: icmp_seq=155 ttl=64 time=1.64 ms
64 bytes from 10.42.0.3: icmp_seq=156 ttl=64 time=1.78 ms
64 bytes from 10.42.0.3: icmp_seq=157 ttl=64 time=2.87 ms
64 bytes from 10.42.0.3: icmp_seq=158 ttl=64 time=1.91 ms
64 bytes from 10.42.0.3: icmp_seq=159 ttl=64 time=1.97 ms
64 bytes from 10.42.0.3: icmp_seq=160 ttl=64 time=507 ms
64 bytes from 10.42.0.3: icmp_seq=161 ttl=64 time=2.91 ms
64 bytes from 10.42.0.3: icmp_seq=162 ttl=64 time=7.86 ms
64 bytes from 10.42.0.3: icmp_seq=163 ttl=64 time=589 ms
64 bytes from 10.42.0.3: icmp_seq=164 ttl=64 time=809 ms
64 bytes from 10.42.0.3: icmp_seq=165 ttl=64 time=7.84 ms
64 bytes from 10.42.0.3: icmp_seq=166 ttl=64 time=1.73 ms
64 bytes from 10.42.0.3: icmp_seq=167 ttl=64 time=811 ms
64 bytes from 10.42.0.3: icmp_seq=168 ttl=64 time=548 ms
64 bytes from 10.42.0.3: icmp_seq=169 ttl=64 time=10.7 ms
64 bytes from 10.42.0.3: icmp_seq=170 ttl=64 time=1.69 ms
64 bytes from 10.42.0.3: icmp_seq=171 ttl=64 time=2.02 ms
64 bytes from 10.42.0.3: icmp_seq=172 ttl=64 time=1.82 ms
64 bytes from 10.42.0.3: icmp_seq=173 ttl=64 time=1.86 ms
64 bytes from 10.42.0.3: icmp_seq=174 ttl=64 time=1.80 ms
64 bytes from 10.42.0.3: icmp_seq=175 ttl=64 time=43.4 ms
64 bytes from 10.42.0.3: icmp_seq=176 ttl=64 time=2.57 ms
64 bytes from 10.42.0.3: icmp_seq=177 ttl=64 time=1.70 ms
64 bytes from 10.42.0.3: icmp_seq=178 ttl=64 time=13.3 ms
