PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=113 ttl=64 time=191 ms
64 bytes from 10.42.0.3: icmp_seq=114 ttl=64 time=291 ms
64 bytes from 10.42.0.3: icmp_seq=115 ttl=64 time=262 ms
64 bytes from 10.42.0.3: icmp_seq=116 ttl=64 time=79.4 ms
64 bytes from 10.42.0.3: icmp_seq=117 ttl=64 time=271 ms
64 bytes from 10.42.0.3: icmp_seq=118 ttl=64 time=68.3 ms
64 bytes from 10.42.0.3: icmp_seq=119 ttl=64 time=114 ms
64 bytes from 10.42.0.3: icmp_seq=120 ttl=64 time=284 ms
64 bytes from 10.42.0.3: icmp_seq=121 ttl=64 time=73.7 ms
64 bytes from 10.42.0.3: icmp_seq=122 ttl=64 time=798 ms
64 bytes from 10.42.0.3: icmp_seq=123 ttl=64 time=115 ms
64 bytes from 10.42.0.3: icmp_seq=124 ttl=64 time=65.3 ms
64 bytes from 10.42.0.3: icmp_seq=125 ttl=64 time=167 ms
64 bytes from 10.42.0.3: icmp_seq=126 ttl=64 time=18.6 ms
64 bytes from 10.42.0.3: icmp_seq=127 ttl=64 time=31.1 ms
64 bytes from 10.42.0.3: icmp_seq=128 ttl=64 time=71.8 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=106 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=106 ms (DUP!)
64 bytes from 10.42.0.3: icmp_seq=130 ttl=64 time=74.9 ms
64 bytes from 10.42.0.3: icmp_seq=131 ttl=64 time=346 ms
64 bytes from 10.42.0.3: icmp_seq=132 ttl=64 time=49.3 ms
64 bytes from 10.42.0.3: icmp_seq=133 ttl=64 time=172 ms
64 bytes from 10.42.0.3: icmp_seq=134 ttl=64 time=93.6 ms
64 bytes from 10.42.0.3: icmp_seq=135 ttl=64 time=207 ms
64 bytes from 10.42.0.3: icmp_seq=136 ttl=64 time=973 ms
64 bytes from 10.42.0.3: icmp_seq=137 ttl=64 time=136 ms
64 bytes from 10.42.0.3: icmp_seq=138 ttl=64 time=19.4 ms
64 bytes from 10.42.0.3: icmp_seq=139 ttl=64 time=59.0 ms
64 bytes from 10.42.0.3: icmp_seq=140 ttl=64 time=345 ms
64 bytes from 10.42.0.3: icmp_seq=141 ttl=64 time=213 ms
64 bytes from 10.42.0.3: icmp_seq=142 ttl=64 time=87.4 ms
64 bytes from 10.42.0.3: icmp_seq=143 ttl=64 time=119 ms
64 bytes from 10.42.0.3: icmp_seq=144 ttl=64 time=1052 ms
64 bytes from 10.42.0.3: icmp_seq=145 ttl=64 time=258 ms
64 bytes from 10.42.0.3: icmp_seq=146 ttl=64 time=153 ms
64 bytes from 10.42.0.3: icmp_seq=147 ttl=64 time=139 ms
64 bytes from 10.42.0.3: icmp_seq=148 ttl=64 time=45.6 ms
64 bytes from 10.42.0.3: icmp_seq=149 ttl=64 time=60.9 ms
64 bytes from 10.42.0.3: icmp_seq=150 ttl=64 time=155 ms
64 bytes from 10.42.0.3: icmp_seq=151 ttl=64 time=177 ms
64 bytes from 10.42.0.3: icmp_seq=152 ttl=64 time=1035 ms
64 bytes from 10.42.0.3: icmp_seq=153 ttl=64 time=197 ms
64 bytes from 10.42.0.3: icmp_seq=154 ttl=64 time=36.9 ms
64 bytes from 10.42.0.3: icmp_seq=155 ttl=64 time=78.0 ms
64 bytes from 10.42.0.3: icmp_seq=156 ttl=64 time=271 ms
64 bytes from 10.42.0.3: icmp_seq=157 ttl=64 time=172 ms
64 bytes from 10.42.0.3: icmp_seq=158 ttl=64 time=932 ms
64 bytes from 10.42.0.3: icmp_seq=159 ttl=64 time=139 ms
64 bytes from 10.42.0.3: icmp_seq=160 ttl=64 time=81.9 ms
64 bytes from 10.42.0.3: icmp_seq=161 ttl=64 time=117 ms
64 bytes from 10.42.0.3: icmp_seq=162 ttl=64 time=517 ms
64 bytes from 10.42.0.3: icmp_seq=163 ttl=64 time=935 ms
