PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=1.12 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=1.92 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=0.905 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=1.46 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=1.56 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=2.69 ms
64 bytes from 10.42.0.3: icmp_seq=92 ttl=64 time=1.20 ms
64 bytes from 10.42.0.3: icmp_seq=93 ttl=64 time=0.924 ms
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=0.996 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=0.994 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=0.959 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=1.11 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=0.950 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=1.06 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=0.906 ms
64 bytes from 10.42.0.3: icmp_seq=101 ttl=64 time=1.38 ms
64 bytes from 10.42.0.3: icmp_seq=102 ttl=64 time=0.925 ms
64 bytes from 10.42.0.3: icmp_seq=103 ttl=64 time=0.945 ms
64 bytes from 10.42.0.3: icmp_seq=104 ttl=64 time=0.923 ms
64 bytes from 10.42.0.3: icmp_seq=105 ttl=64 time=1.16 ms
64 bytes from 10.42.0.3: icmp_seq=106 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=107 ttl=64 time=1.55 ms
64 bytes from 10.42.0.3: icmp_seq=108 ttl=64 time=1.87 ms
64 bytes from 10.42.0.3: icmp_seq=109 ttl=64 time=1.03 ms
64 bytes from 10.42.0.3: icmp_seq=110 ttl=64 time=1.51 ms
64 bytes from 10.42.0.3: icmp_seq=111 ttl=64 time=1.38 ms
