%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718110608935128056,1.28,0.0,0.0,0.0,0.0,0.14375
1718110608987118110,1.28,0.0,0.0,0.0,0.0,0.296875
1718110609033709808,1.28,0.0,0.0,0.0,0.0,0.278125
1718110609085982009,1.28,0.0,0.0,0.0,0.0,0.259375
1718110609136201873,1.28,0.0,0.0,0.0,0.0,0.2375
1718110609183547253,1.28,0.0,0.0,0.0,0.0,0.221875
1718110609235017150,1.28,0.0,0.0,0.0,0.0,0.209375
1718110609284804216,1.28,0.0,0.0,0.0,0.0,0.1875
1718110609337209986,1.28,0.0,0.0,0.0,0.0,0.175
1718110609385169315,1.28,0.0,0.0,0.0,0.0,0.165625
1718110609437237691,1.28,0.0,0.0,0.0,0.0,0.15
1718110609486702122,1.28,0.0,0.0,0.0,0.0,0.1375
1718110609536204524,1.28,0.0,0.0,0.0,0.0,0.140625
1718110609586000668,1.28,0.0,0.0,0.0,0.0,0.1375
1718110609636232529,1.28,0.0,0.0,0.0,0.0,0.128125
1718110609686727003,1.28,0.0,0.0,0.0,0.0,0.13125
1718110609736036246,1.28,0.0,0.0,0.0,0.0,0.128125
1718110609787087525,1.28,0.0,0.0,0.0,0.0,0.228125
1718110609836671569,1.28,0.0,0.0,0.0,0.0,0.2125
1718110609887828560,1.28,0.0,0.0,0.0,0.0,0.196875
1718110609935891413,1.28,0.0,0.0,0.0,0.0,0.15
1718110609987695821,1.28,0.0,0.0,0.0,0.0,0.1375
1718110610046627279,1.28,0.0,0.0,0.0,0.0,0.128125
1718110610087996120,1.28,0.0,0.0,0.0,0.0,0.11875
1718110610136740046,1.28,0.0,0.0,0.0,0.0,0.153125
1718110610186598194,1.28,0.0,0.0,0.0,0.0,0.1375
1718110610237407903,1.28,0.0,0.0,0.0,0.0,0.128125
1718110610287359783,1.28,0.0,0.0,0.0,0.0,0.11875
1718110610336328374,1.28,0.0,0.0,0.0,0.0,0.115625
1718110610387213823,1.28,0.0,0.0,0.0,0.0,0.10625
1718110610434477827,1.28,0.0,0.0,0.0,0.0,0.109375
1718110610487265054,1.28,0.0,0.0,0.0,0.0,0.103125
1718110610535387414,1.28,0.0,0.0,0.0,0.0,0.096875
1718110610587516931,1.28,0.0,0.0,0.0,0.0,0.096875
1718110610634390895,1.28,0.0,0.0,0.0,0.0,0.196875
1718110610687128699,1.28,0.0,0.0,0.0,0.0,0.184375
1718110610734712484,1.28,0.0,0.0,0.0,0.0,0.171875
1718110610787995429,1.28,0.0,0.0,0.0,0.0,0.159375
1718110610835174279,1.28,0.0,0.0,0.0,0.0,0.15
1718110610884011267,1.28,0.0,0.0,0.0,0.0,0.1375
1718110610937121152,1.28,0.0,0.0,0.0,0.0,0.128125
1718110610986936587,1.28,0.0,0.0,0.0,0.0,0.115625
1718110611036351141,1.28,0.0,0.0,0.0,0.0,0.109375
1718110611087209369,1.28,0.0,0.0,0.0,0.0,0.103125
1718110611137234228,1.28,0.0,0.0,0.0,0.0,0.096875
1718110611186543772,1.28,0.0,0.0,0.0,0.0,0.090625
1718110611236597683,1.28,0.0,0.0,0.0,0.0,0.08125
1718110611287494412,1.28,0.0,0.0,0.0,0.0,0.075
1718110611336741686,1.28,0.0,0.0,0.0,0.0,0.071875
1718110611386624866,1.28,0.0,0.0,0.0,0.0,0.065625
1718110611436557373,1.28,0.0,0.0,0.0,0.0,0.059375
1718110611486956025,1.28,0.0,0.0,0.0,0.0,0.05625
1718110611536368576,1.28,0.0,0.0,0.0,0.0,0.05625
1718110611586914474,1.28,0.0,0.0,0.0,0.0,0.05
1718110611633540923,1.28,0.0,0.0,0.0,0.0,0.046875
1718110611687444604,1.28,0.0,0.0,0.0,0.0,0.04375
1718110611736546974,1.28,0.0,0.0,0.0,0.0,0.04375
1718110611783131357,1.28,0.0,0.0,0.0,0.0,0.04375
1718110611837901238,1.28,0.0,0.0,0.0,0.0,0.040625
1718110611886078854,1.28,0.0,0.0,0.0,0.0,0.0375
1718110611936860844,1.28,0.0,0.0,0.0,0.0,0.040625
1718110611987395507,1.28,0.0,0.0,0.0,0.0,0.0375
1718110612032864684,1.28,0.0,0.0,0.0,0.0,0.034375
1718110612087832557,1.28,0.0,0.0,0.0,0.0,0.03125
1718110612136388528,1.28,0.0,0.0,0.0,0.0,0.04375
1718110612183529940,1.28,0.0,0.0,0.0,0.0,0.040625
1718110612236899259,1.28,0.0,0.0,0.0,0.0,0.0375
1718110612286543114,1.28,0.0,0.0,0.0,0.0,0.0375
1718110612336072741,1.28,0.0,0.0,0.0,0.0,0.0375
1718110612383670282,1.28,0.0,0.0,0.0,0.0,0.03125
1718110612438595892,1.28,0.0,0.0,0.0,0.0,0.034375
1718110612483189872,1.28,0.0,0.0,0.0,0.0,0.034375
1718110612534455139,1.28,0.0,0.0,0.0,0.0,-0.978125
1718110612588312486,1.28,0.0,0.0,0.0,0.0,-0.965625
1718110612637230093,1.28,0.0,0.0,0.0,0.0,-0.953125
1718110612687574742,1.28,0.0,0.0,0.0,0.0,-0.96875
1718110612740961770,1.28,0.0,0.0,0.0,0.0,-0.9375
1718110612786083257,1.28,0.0,0.0,0.0,0.0,-0.93125
1718110612836379427,1.28,0.0,0.0,0.0,0.0,-0.921875
1718110612886417077,1.28,0.0,0.0,0.0,0.0,-0.928125
1718110612941185183,1.28,0.0,0.0,0.0,0.0,-0.903125
1718110612987766755,1.28,0.0,0.0,0.0,0.0,-0.89375
1718110613039366889,1.28,0.0,0.0,0.0,0.0,-0.884375
1718110613087621049,1.28,0.0,0.0,0.0,0.0,-0.878125
1718110613141918397,1.28,0.0,0.0,0.0,0.0,-0.865625
1718110613187733240,1.28,0.0,0.0,0.0,0.0,-0.85625
1718110613243183094,1.28,0.0,0.0,0.0,0.0,-0.846875
1718110613285524168,1.28,0.0,0.0,0.0,0.0,-0.8375
1718110613341422184,1.28,0.0,0.0,0.0,0.0,-0.828125
1718110613388023125,1.28,0.0,0.0,0.0,0.0,-0.821875
1718110613439191736,1.28,0.0,0.0,0.0,0.0,-0.8125
1718110613488537687,1.28,0.0,0.0,0.0,0.0,-0.803125
1718110613540089871,1.28,0.0,0.0,0.0,0.0,-0.79375
1718110613584427572,1.28,0.0,0.0,0.0,0.0,-0.7875
1718110613639451338,1.28,0.0,0.0,0.0,0.0,-0.778125
1718110613687198383,1.28,0.0,0.0,0.0,0.0,-0.76875
1718110613741181926,1.28,0.0,0.0,0.0,0.0,-0.7625
1718110613785837140,1.28,0.0,0.0,0.0,0.0,-0.746875
1718110613837513406,1.28,0.0,0.0,0.0,0.0,-0.73125
1718110613888957393,1.28,0.0,0.0,0.0,0.0,-0.715625
1718110613940126460,1.28,0.0,0.0,0.0,0.0,-0.7
1718110613996062138,1.28,0.0,0.0,0.0,0.0,-0.6875
1718110614043477242,1.28,0.0,0.0,0.0,0.0,-0.66875
1718110614090116808,1.28,0.0,0.0,0.0,0.0,-0.653125
1718110614138965490,1.28,0.0,0.0,0.0,0.0,-0.6375
1718110614190775387,1.28,0.0,0.0,0.0,0.0,-0.628125
1718110614239119545,1.28,0.0,0.0,0.0,0.0,-0.60625
1718110614290081436,1.28,0.0,0.0,0.0,0.0,-0.56875
1718110614341335325,1.28,0.0,0.0,0.0,0.0,-0.525
1718110614386416483,1.28,0.0,0.0,0.0,0.0,-0.484375
1718110614435702384,1.28,0.0,0.0,0.0,0.0,-0.44375
1718110614489565365,1.28,0.0,0.0,0.0,0.0,-0.403125
1718110614537734318,1.28,0.0,0.0,0.0,0.0,-0.359375
1718110614588173116,1.28,0.0,0.0,0.0,0.0,-0.31875
1718110614637830902,1.28,0.0,0.0,0.0,0.0,-0.26875
1718110614685414064,1.28,0.0,0.0,0.0,0.0,-0.225
1718110614735282343,1.28,0.0,0.0,0.0,0.0,-0.18125
1718110614786122228,1.28,0.0,0.0,0.0,0.0,-0.15
1718110614835857733,1.28,0.0,0.0,0.0,0.0,-0.10625
1718110614885312580,1.28,0.0,0.0,0.0,0.0,-0.06875
1718110614935530523,1.28,0.0,0.0,0.0,0.0,-0.0375
1718110614986526030,1.28,0.0,0.0,0.0,0.0,-0.015625
1718110615047139578,1.28,0.0,0.0,0.0,0.0,0.659375
1718110615091149200,1.28,0.0,0.0,0.0,0.0,0.64375
1718110615142470370,1.28,0.0,0.0,0.0,0.0,0.621875
1718110615183892648,1.28,0.0,0.0,0.0,0.0,0.546875
1718110615242231975,1.28,0.0,0.0,0.0,0.0,0.58125
1718110615284486618,1.28,0.0,0.0,0.0,0.0,0.5625
1718110615340121487,1.28,0.0,0.0,0.0,0.0,0.54375
1718110615384568921,1.28,0.0,0.0,0.0,0.0,0.571875
1718110615440049928,1.28,0.0,0.0,0.0,0.0,0.45
1718110615488304321,1.28,0.0,0.0,0.0,0.0,0.43125
1718110615537180849,1.28,0.0,0.0,0.0,0.0,0.4125
1718110615589901126,1.28,0.0,0.0,0.0,0.0,0.440625
1718110615638219265,1.28,0.0,0.0,0.0,0.0,0.36875
1718110615689986128,0.0,0.0,0.0,0.0,0.0,0.0
1718110615736908590,0.0,0.0,0.0,0.0,0.0,0.0
1718110615788945611,0.0,0.0,0.0,0.0,0.0,0.0
1718110615839357976,0.0,0.0,0.0,0.0,0.0,0.0
1718110615887669675,0.0,0.0,0.0,0.0,0.0,0.0
1718110615934822362,0.0,0.0,0.0,0.0,0.0,0.0
1718110615987009773,0.0,0.0,0.0,0.0,0.0,0.0
1718110616037164547,0.0,0.0,0.0,0.0,0.0,0.0
1718110616085761488,0.0,0.0,0.0,0.0,0.0,0.0
1718110616136127429,0.0,0.0,0.0,0.0,0.0,0.0
1718110616183073677,0.0,0.0,0.0,0.0,0.0,0.0
1718110616236667081,0.0,0.0,0.0,0.0,0.0,0.0
1718110616286083567,0.0,0.0,0.0,0.0,0.0,0.0
1718110616336059376,0.0,0.0,0.0,0.0,0.0,0.0
1718110616386553915,0.0,0.0,0.0,0.0,0.0,0.0
1718110616436516149,0.0,0.0,0.0,0.0,0.0,0.0
1718110616485849669,0.0,0.0,0.0,0.0,0.0,0.0
1718110616536303193,0.0,0.0,0.0,0.0,0.0,0.0
1718110616585770131,0.0,0.0,0.0,0.0,0.0,0.0
1718110616634772015,0.0,0.0,0.0,0.0,0.0,0.0
1718110616683799327,0.0,0.0,0.0,0.0,0.0,0.0
1718110616735182680,0.0,0.0,0.0,0.0,0.0,0.0
1718110616784110247,0.0,0.0,0.0,0.0,0.0,0.0
1718110616836767990,0.0,0.0,0.0,0.0,0.0,0.0
1718110616885991672,0.0,0.0,0.0,0.0,0.0,0.0
1718110616935231246,0.0,0.0,0.0,0.0,0.0,0.0
1718110616985467741,0.0,0.0,0.0,0.0,0.0,0.0
1718110617036355901,0.0,0.0,0.0,0.0,0.0,0.0
1718110617086518310,0.0,0.0,0.0,0.0,0.0,0.0
1718110617136684209,0.0,0.0,0.0,0.0,0.0,0.0
1718110617187050210,0.0,0.0,0.0,0.0,0.0,0.0
1718110617233452811,0.0,0.0,0.0,0.0,0.0,0.0
1718110617287175366,0.0,0.0,0.0,0.0,0.0,0.0
1718110617335668629,0.0,0.0,0.0,0.0,0.0,0.0
1718110617386895246,0.0,0.0,0.0,0.0,0.0,0.0
1718110617434577782,0.0,0.0,0.0,0.0,0.0,0.0
1718110617483895826,0.0,0.0,0.0,0.0,0.0,0.0
1718110617537224781,0.0,0.0,0.0,0.0,0.0,0.0
1718110617586373177,0.0,0.0,0.0,0.0,0.0,0.0
1718110617635733229,0.0,0.0,0.0,0.0,0.0,0.0
1718110617688078641,0.0,0.0,0.0,0.0,0.0,0.0
1718110617735638921,0.0,0.0,0.0,0.0,0.0,0.0
1718110617783431717,0.0,0.0,0.0,0.0,0.0,0.0
1718110617837394669,0.0,0.0,0.0,0.0,0.0,0.0
1718110617883734606,0.0,0.0,0.0,0.0,0.0,0.0
1718110617937567814,0.0,0.0,0.0,0.0,0.0,0.0
1718110617986409009,0.0,0.0,0.0,0.0,0.0,0.0
1718110618036482186,0.0,0.0,0.0,0.0,0.0,0.0
1718110618087559632,0.0,0.0,0.0,0.0,0.0,0.0
1718110618136177196,0.0,0.0,0.0,0.0,0.0,0.0
1718110618183846205,0.0,0.0,0.0,0.0,0.0,0.0
1718110618236702760,0.0,0.0,0.0,0.0,0.0,0.0
1718110618287058440,0.0,0.0,0.0,0.0,0.0,0.0
1718110618336547415,0.0,0.0,0.0,0.0,0.0,0.0
1718110618385353289,0.0,0.0,0.0,0.0,0.0,0.0
1718110618436053691,0.0,0.0,0.0,0.0,0.0,0.0
1718110618486848348,0.0,0.0,0.0,0.0,0.0,0.0
1718110618536667494,0.0,0.0,0.0,0.0,0.0,0.0
1718110618583415344,0.0,0.0,0.0,0.0,0.0,0.0
1718110618634223147,0.0,0.0,0.0,0.0,0.0,0.0
1718110618685531378,0.0,0.0,0.0,0.0,0.0,0.0
1718110618735813946,0.0,0.0,0.0,0.0,0.0,0.0
1718110618786029717,0.0,0.0,0.0,0.0,0.0,0.0
1718110618836880127,0.0,0.0,0.0,0.0,0.0,0.0
1718110618885914169,0.0,0.0,0.0,0.0,0.0,0.0
1718110618936341889,0.0,0.0,0.0,0.0,0.0,0.0
1718110618985124123,0.0,0.0,0.0,0.0,0.0,0.0
1718110619036956894,0.0,0.0,0.0,0.0,0.0,0.0
1718110619086835837,0.0,0.0,0.0,0.0,0.0,0.0
1718110619136429636,0.0,0.0,0.0,0.0,0.0,0.0
1718110619184664894,0.0,0.0,0.0,0.0,0.0,0.0
1718110619240450773,0.0,0.0,0.0,0.0,0.0,0.0
1718110619287482672,0.0,0.0,0.0,0.0,0.0,0.0
1718110619334679411,0.0,0.0,0.0,0.0,0.0,0.0
1718110619388152785,0.0,0.0,0.0,0.0,0.0,0.0
1718110619432923766,0.0,0.0,0.0,0.0,0.0,0.0
1718110619488897430,0.0,0.0,0.0,0.0,0.0,0.0
1718110619535141401,0.0,0.0,0.0,0.0,0.0,0.0
1718110619590211139,0.0,0.0,0.0,0.0,0.0,0.0
1718110619636675608,0.0,0.0,0.0,0.0,0.0,0.0
1718110619688083954,0.0,0.0,0.0,0.0,0.0,0.0
1718110619735961365,0.0,0.0,0.0,0.0,0.0,0.0
1718110619787442507,0.0,0.0,0.0,0.0,0.0,0.0
