time,/actor2/velocity_data,/actor2/acceleration_data,/actor2/imu_data
1720981939.87805,1.6361142816511247,-1.2340111887983096,-0.0006000000000000001
1720981939.9781137,1.5532212180725469,-0.8289306357857784,-0.0018000000000000002
1720981940.0779734,1.6362218663754062,0.8300064830285936,-0.0022
1720981940.177915,1.6344825224864457,-0.01739343888960576,-0.0014
1720981940.277912,1.5722873209402488,-0.6219520154619684,-0.002
1720981940.3781114,1.6069946847299028,0.34707363789654,-0.0012000000000000001
1720981940.4780498,1.5889560573983557,-0.18038627331547152,-0.0014
1720981940.5785365,1.6525159436655983,0.6355988626724263,-0.002
1720981940.6785078,1.5925128148395176,-0.6000312882608072,-0.0022
1720981940.7781017,1.5472229849320296,-0.4528982990748798,-0.0022
1720981940.8785186,1.557568346622812,0.10345361690782484,-0.002
1720981940.9784095,1.6032953459919654,0.45726999369153365,-0.002
1720981941.0786066,1.5993485614330776,-0.039467845588878614,-0.002
1720981941.1781273,1.5313717020198958,-0.6797685941318177,-0.002
1720981941.2780201,1.4032588518463414,-1.2811285017355445,-0.0022
1720981941.378095,1.3546802970100236,-0.4857855483631779,-0.0018000000000000002
1720981941.4780142,1.4692599040166048,1.145796070065812,-0.0012000000000000001
1720981941.5779772,1.4127433452351073,-0.5651655878149753,-0.002
1720981941.6779761,1.382706173235125,-0.3003717199998235,-0.0022
1720981941.7780728,1.3594839068540892,-0.2322226638103575,-0.0014
1720981941.877879,1.3691330103919177,0.09649103537828552,-0.002
1720981941.977956,1.3436899756899818,-0.25443034701935874,-0.0006000000000000001
1720981942.0779457,1.351687196353997,0.07997220664015092,-0.0014
1720981942.1779568,1.3721741390897157,0.20486942735718827,-0.0014
1720981942.2779546,1.2846069117558907,-0.8756722733382505,-0.0014
1720981942.3779259,1.3079487226270607,0.23341810871170043,-0.0006000000000000001
1720981942.4779673,1.3595647618247546,0.5161603919769386,-0.0022
1720981942.5778515,1.3785652885454407,0.19000526720686084,-0.0018000000000000002
1720981942.6780207,1.3782323195059747,-0.003329690394660023,-0.0012000000000000001
1720981942.7780461,1.2768618847383453,-1.0137043476762941,-0.002
1720981942.878029,1.2263724984464863,-0.5048938629185895,-0.0006000000000000001
1720981942.97807,1.2941944705860737,0.678219721395874,-0.0034000000000000002
1720981943.0780401,1.3505338653260515,0.5633939473997773,-0.0022
1720981943.1779363,1.2454560337887775,-1.0507783153727401,-0.0026000000000000003
1720981943.2778926,1.2608919536802117,0.15435919891434224,-0.0014
1720981943.3778794,1.2580548809489807,-0.028370727312310162,-0.0014
1720981943.4779434,1.2489967852775539,-0.09058095671426791,-0.0012000000000000001
1720981943.5779254,1.2361848340863506,-0.12811951191203264,-0.0006000000000000001
1720981943.6779637,1.2890012548809509,0.5281642079460025,-0.0014
1720981943.777896,1.3167366498723427,0.2773539499139188,-0.0012000000000000001
1720981943.8780637,1.3277595548341592,0.1102290496181646,-0.0014
1720981943.9784143,1.3073805281865936,-0.20379026647565635,-0.0006000000000000001
1720981944.0781157,1.274459709265704,-0.32920818920889605,-0.0012000000000000001
1720981944.1780224,1.3119345361419306,0.3747482687622661,-0.0018000000000000002
1720981944.2780707,1.3168840333078442,0.04949497165913641,-0.0022
1720981944.3781426,1.2401021463151491,-0.7678188699269506,-0.0014
1720981944.47826,1.1737167449266503,-0.663854013884988,-0.002
1720981944.5780127,1.2243844464978546,0.5066770157120426,-0.0014
1720981944.6779354,1.2172659938616974,-0.0711845263615718,-0.0018000000000000002
1720981944.777881,1.1768526315909371,-0.4041336227076031,-0.0014
1720981944.8781447,1.1817294100756046,0.04876778484667499,-0.0018000000000000002
1720981944.9780915,1.192350789054606,0.10621378979001284,-0.0012000000000000001
1720981945.0781221,1.2204525152996417,0.2810172624503582,-0.0012000000000000001
1720981945.1781237,1.2728658467940124,0.5241333149437066,-0.0006000000000000001
1720981945.2781847,1.3275475748354237,0.5468172804141136,-0.002
1720981945.3779523,1.2919090464720588,-0.35638528363364896,-0.0022
1720981945.477939,1.3073713652879482,0.1546231881588933,-0.0014
1720981945.5780797,1.2934244542000817,-0.13946911087866498,-0.0018000000000000002
1720981945.6786876,1.2709711121541656,-0.22453342045916092,-0.0018000000000000002
1720981945.7778227,1.2476348300540125,-0.23336282100153038,-0.002
1720981945.8781028,1.229644240797841,-0.17990589256171585,-0.001
1720981945.9788249,1.2242439271842238,-0.05400313613617147,-0.002
1720981946.078062,1.2241090941371524,-0.001348330470714032,-0.0006000000000000001
1720981946.1780062,1.2318288035615215,0.07719709424369059,-0.0018000000000000002
1720981946.2781174,1.2354924695417129,0.03663665980191411,-0.0026000000000000003
1720981946.3780906,1.2336251703933072,-0.018672991484056656,-0.0026000000000000003
1720981946.4781275,1.2977387848673594,0.6411361447405217,-0.002
1720981946.5779593,1.2689082809918757,-0.28830503875483693,-0.0012000000000000001
1720981946.6782732,1.3099777149649765,0.4106943397310081,-0.001
1720981946.7780306,1.2586756194864424,-0.5130209547853415,-0.0018000000000000002
1720981946.8778827,1.2839483481980574,0.2527272871161501,-0.0014
1720981946.978008,1.2640524603812764,-0.19895887816780977,-0.0012000000000000001
1720981947.07792,1.203170948600702,-0.6088151178057433,-0.0014
1720981947.178038,1.1788522018163763,-0.24318746784325773,-0.0014
1720981947.2779293,1.197078869863079,0.182266680467027,-0.0018000000000000002
1720981947.3780317,1.2002206474778858,0.03141777614806829,-0.001
1720981947.4778945,1.1912756453422013,-0.08945002135684499,-0.001
1720981947.5778615,1.1939777428618599,0.02702097519658553,-0.002
1720981947.6780705,1.1817355697522551,-0.12242173109604737,-0.0026000000000000003
1720981947.7779193,1.193735091881187,0.11999522128931961,-0.0018000000000000002
1720981947.877921,1.2645378353226855,0.708027434414984,-0.0018000000000000002
1720981947.9781113,1.3225558234853154,0.5801798816262993,-0.0004
1720981948.077948,1.305438307441451,-0.17117516043864356,-0.0012000000000000001
1720981948.1778677,1.2952600820296667,-0.1017822541178437,-0.0012000000000000001
1720981948.278028,1.3191525826467223,0.23892500617055612,-0.0022
1720981948.3778675,1.3209914750149112,0.018388923681889047,-0.0028
1720981948.478093,1.3199603570999365,-0.010311179149746774,-0.002
1720981948.5781972,1.3291879842626864,0.0922762716274983,-0.0014
1720981948.6778913,1.3650604192589546,0.35872434996268243,-0.001
1720981948.7779627,1.3571533512668095,-0.07907067992145134,-0.0006000000000000001
1720981948.8778806,1.4214377731736598,0.6428442190685035,-0.0028
1720981948.9780228,1.4236970664904876,0.022592933168277263,-0.001
1720981949.0780437,1.4191649542530742,-0.04532112237413344,-0.0014
1720981949.1779177,1.412005590564512,-0.07159363688562292,-0.0018000000000000002
1720981949.2779677,1.428304267847035,0.162986772825231,-0.0014
1720981949.3779116,1.4189747615111898,-0.09329506335845172,-0.0026000000000000003
1720981949.4779203,1.4017229642333708,-0.17251797277819003,-0.002
1720981949.5779061,1.4074717102964291,0.057487460630583076,-0.0012000000000000001
1720981949.67796,1.4280969612098715,0.2062525091344236,-0.0006000000000000001
1720981949.7780519,1.4397904708753595,0.11693509665487989,-0.0018000000000000002
1720981949.8779006,1.4408958064222082,0.011053355468486625,-0.002
1720981949.9778852,1.4360504766478346,-0.048453297743735746,-0.0028
1720981950.0779762,1.4626591588597948,0.2660868221196022,-0.0018000000000000002
1720981950.1781125,1.4700195036439272,0.07360344784132389,-0.0018000000000000002
1720981950.277967,1.4632996463663235,-0.06719857277603714,-0.0012000000000000001
1720981950.3779728,1.4679277288857309,0.04628082519407384,-0.0014
1720981950.4780614,1.4621359087906476,-0.05791820095083278,-0.0014
1720981950.5780094,1.465903589026865,0.0376768023621743,-0.0004
1720981950.6781301,1.4403481885124314,-0.2555540051443361,-0.002
1720981950.778326,1.4717523425894121,0.31404154076980717,-0.0018000000000000002
1720981950.878538,1.454699558102327,-0.17052784487085137,-0.002
1720981950.9778948,1.4300025307331676,-0.24697027369159352,-0.0004
1720981951.0779788,1.4450549943926765,0.15052463659508852,-0.002
1720981951.1779752,1.5018910568135087,0.5683606242083217,-0.0006000000000000001
1720981951.2778776,1.5311154749650926,0.2922441815158394,-0.0018000000000000002
1720981951.3783584,1.4942728639118676,-0.3684261105322495,-0.0022
1720981951.4780726,1.3457634457381353,-1.485094181737323,-0.001
1720981951.5784986,1.3587676471052297,0.13004201367094348,-0.0018000000000000002
1720981951.678313,1.4039434353489455,0.4517578824371582,-0.0012000000000000001
1720981951.777971,1.3795579069446702,-0.24385528404275325,-0.0002
1720981951.877923,1.4092269225563132,0.29669015611643035,-0.0014
1720981951.9777708,1.4182415556881258,0.0901463313181261,-0.0026000000000000003
1720981952.0781312,1.3826013222207392,-0.3564023346738665,-0.0014
1720981952.1779525,1.3153222327380591,-0.6727908948268002,-0.0012000000000000001
1720981952.2779381,1.2800445139620227,-0.3527771877603647,-0.0018000000000000002
1720981952.3779116,1.3598582722006298,0.7981375823860715,-0.0022
1720981952.4779427,1.355440202518299,-0.044180696823308274,-0.0028
1720981952.5780268,1.4200915838710186,0.6465138135271964,-0.0014
1720981952.6779716,1.4417541406217127,0.21662556750694062,-0.0018000000000000002
1720981952.7781537,1.3633805839291446,-0.7837355669256807,-0.0004
1720981952.8780563,1.2761220396348687,-0.8725854429427593,-0.0014
1720981952.9778883,1.2819905915761987,0.05868551941329958,-0.0018000000000000002
1720981953.0780416,1.3389028503682565,0.5691225879205786,-0.0012000000000000001
1720981953.1778092,1.3759762153562534,0.3707336498799685,-0.0018000000000000002
1720981953.2779777,1.3812713921286464,0.052951767723929954,-0.0012000000000000001
1720981953.3779252,1.3992426053488074,0.17971213220161042,-0.0026000000000000003
1720981953.477879,1.362205759054359,-0.37036846294448367,0.0
1720981953.5778513,1.390747382135076,0.2854162308071695,-0.0018000000000000002
1720981953.6780224,1.409521460026032,0.18774077890955976,-0.0014
1720981953.7779553,1.3377732513312661,-0.7174820869476584,-0.001
1720981953.8779469,1.3434957355483106,0.057224842170444656,-0.002
1720981953.9781559,1.36333749317324,0.19841757624929457,-0.002
1720981954.07795,1.3380382274012004,-0.2529926577203967,-0.002
1720981954.177977,1.3170412205361084,-0.20997006865091983,-0.0014
1720981954.2780607,1.3058752671023623,-0.11165953433746045,-0.002
1720981954.3778896,1.2841998460368789,-0.2167542106548348,-0.0014
1720981954.4780707,1.2787506999718967,-0.054491460649821466,-0.0014
1720981954.577838,1.2355189404241047,-0.43231759547792015,-0.0018000000000000002
