time,/actor1/acceleration_data,/actor1/velocity_data
1721061825,1.160312427,2.308909108
1721061825,0.5069026836,2.359599376
1721061825,-0.0005293204416,2.359546444
1721061825,-0.8362431168,2.275922133
1721061825,-0.6827516717,2.207646966
1721061825,0.3917584878,2.246822814
1721061825,0.4085444964,2.287677264
1721061826,-1.186234082,2.169053856
1721061826,-1.578230914,2.011230764
1721061826,-0.02497091168,2.008733673
1721061826,-0.6045320903,1.948280464
1721061826,-0.4747268679,1.900807777
1721061826,-0.6060564981,1.840202128
1721061826,-1.045595521,1.735642576
1721061826,0.639818445,1.79962442
1721061826,0.4703756639,1.846661986
1721061826,-0.1982082081,1.826841166
1721061827,-0.1619148839,1.810649677
1721061827,-1.090182446,1.701631433
1721061827,-0.3305666773,1.668574765
1721061827,0.03456151811,1.672030917
1721061827,-0.1452681474,1.657504102
1721061827,0.2652588476,1.684029987
1721061827,-0.07184611662,1.676845375
1721061827,-0.6491510296,1.611930272
1721061827,-0.6389164915,1.548038623
1721061827,0.7489603463,1.622934658
1721061828,0.2113811476,1.644072772
1721061828,0.09938496155,1.654011268
1721061828,0.1396670203,1.66797797
1721061828,0.09469279456,1.67744725
1721061828,0.271860594,1.704633309
1721061828,0.4046260492,1.745095914
1721061828,-0.257620943,1.71933382
1721061828,0.3509421334,1.754428033
1721061828,-0.05544342526,1.748883691
1721061828,0.2813587614,1.777019567
1721061829,0.08688651117,1.785708218
1721061829,0.6944184629,1.855150064
1721061829,0.07646200691,1.862796265
1721061829,0.2369755303,1.886493818
1721061829,1.319572916,2.01845111
1721061829,0.2261128709,2.041062397
1721061829,-1.102726859,1.930789711
1721061829,0.2169315962,1.95248287
1721061829,-0.434164856,1.909066385
1721061829,-0.5197961083,1.857086774
1721061830,0.3045350716,1.887540281
1721061830,-0.9710928234,1.790430999
1721061830,-0.426327163,1.747798283
1721061830,-0.8731178677,1.660486496
1721061830,0.4219404728,1.702680543
1721061830,-0.01900385637,1.700780157
1721061830,-0.7108531079,1.629694847
1721061830,-0.9286562873,1.536829218
1721061830,-0.6624061929,1.470588599
1721061830,0.4279750976,1.513386108
1721061831,0.1036485808,1.523750966
1721061831,-0.06726853707,1.517024113
1721061831,-0.07712299381,1.509311813
1721061831,0.8564703393,1.594958847
1721061831,-0.4759889471,1.547359953
1721061831,-0.1446705519,1.532892897
1721061831,0.4363468242,1.57652758
1721061831,-0.09032457428,1.567495122
1721061831,0.008379119982,1.568333034
1721061831,-0.1140941708,1.556923617
1721061832,0.4624187149,1.603165489
1721061832,-0.6159119428,1.541574295
1721061832,1.105897742,1.652164069
1721061832,0.2113912381,1.673303193
1721061832,0.1196497938,1.685268172
1721061832,0.2424735875,1.709515531
1721061832,1.293160618,1.838831592
1721061832,0.7524300132,1.914074594
1721061832,0.9757842003,2.011653014
1721061832,0.141151379,2.025768152
1721061833,0.3395352284,2.059721675
1721061833,0.9550886833,2.155230543
1721061833,0.8141459988,2.236645143
1721061833,0.5175522621,2.288400369
1721061833,1.288204288,2.417220798
1721061833,-0.5195094282,2.365269855
1721061833,-1.002438822,2.265025973
1721061833,0.5410205934,2.319128032
1721061833,-0.06807834625,2.312320197
1721061833,0.579622017,2.370282399
1721061834,0.06852892891,2.377135292
1721061834,-0.2857685984,2.348558432
1721061834,-1.275209969,2.221037435
1721061834,-0.2220629961,2.198831136
1721061834,0.4454135392,2.24337249
1721061834,-0.6067543975,2.18269705
1721061834,-1.330609232,2.049636127
1721061834,0.6778741756,2.117423544
1721061834,0.2654040494,2.143963949
1721061834,-0.8025465969,2.06370929
1721061835,-0.7019987081,1.993509419
1721061835,-0.102079524,1.983301466
1721061835,0.5027887846,2.033580345
1721061835,-1.1482009,1.918760255
1721061835,-0.3786943076,1.880890824
1721061835,0.07649096949,1.888539921
1721061835,0.5130674861,1.93984667
1721061835,-0.0123142299,1.938615247
1721061835,-0.8060980786,1.858005439
